license_id,location_key
2077268-DCA,299 FORDHAM PL APT 2 BRONX NY 10464 (Bronx)
2088325-2-DCA,4011 28TH AVE ASTORIA NY 11103 (Queens)
2129670-DCWP,37-42 72ND ST APT 1 QUEENS NY 11372 (Queens)
2109958-DCA,935 79TH ST BROOKLYN NY 11228 (Brooklyn)
2098045-DCA,13001 LIBERTY AVENUE S RICHMOND HL NY 11419 (Queens)
0989161-DCA,221 SAINT ANNS AVENUE BRONX NY 10454 (Bronx)
2104833-DCA,3640 DYRE AVE BRONX NY 10466 (Bronx)
2126115-DCWP,249 W 43RD ST NEW YORK NY 10036 (Manhattan)
2129817-1-DCWP,1591 BROADWAY BROOKLYN NY 11207 (Brooklyn)
2003498-DCA,12010 15 AVENUE COLLEGE POINT NY 11356 (Queens)
2128397-DCWP,4122 FULLER PL APT 4 FLUSHING NY 11355 (Queens)
2046251-DCA,192 LEXINGTON AVE APT 15 NEW YORK NY 10016 (Manhattan)
2109598-DCA,2343 HYLAN BLVD APT 2 STATEN ISLAND NY 10306 (Staten Island)
2102785-DCA,1058 CONEY ISLAND AVE BROOKLYN NY 11230 (Brooklyn)
2126518-1-DCWP,963 AMSTERDAM AVE NEW YORK NY 10025 (Manhattan)
2065955-DCA,131 NEPTUNE AVENUE APT 1 BROOKLYN NY 11235 (Brooklyn)
2128511-DCWP,1256 JEFFERSON AVE BROOKLYN NY 11221 (Brooklyn)
2120290-DCWP,450 LEXINGTON AVE APT 2600 NEW YORK NY 10163 (Manhattan)
2113105-DCA,662 METROPOLITAN AVE BROOKLYN NY 11211 (Brooklyn)
2129865-DCWP,2155 GRAND CONCOURSE BRONX NY 10453 (Bronx)
2124772-DCWP,2166 MATTHEWS AVE APT 6G BRONX NY 10462 (Bronx)
2006649-DCA,1527 ARTHUR KILL RD APT 4 STATEN ISLAND NY 10312 (Staten Island)
2117620-DCWP,80 W KINGSBRIDGE RD BRONX NY 10468 (Bronx)
2051776-DCA,12020 LIBERTY AVENUE SOUTH RICHMOND HILL NY 11419 (Queens)
1097133-DCA,630 9TH AVE APT 702 NEW YORK NY 10036 (Manhattan)
1340167-DCA,2249 POWELL AVE BRONX NY 10462 (Bronx)
2118811-DCWP,535 5TH AVE APT 11 NEW YORK NY 10017 (Manhattan)
2099333-DCA,194 GORDON ST STATEN ISLAND NY 10304 (Staten Island)
2126839-DCWP,2384 GRAND CONCOURSE BRONX NY 10458 (Bronx)
2127906-DCWP,105 6TH AVE APT 3 BROOKLYN NY 11217 (Brooklyn)
2126392-DCWP,4239 BROADWAY NEW YORK NY 10033 (Manhattan)
2130651-DCWP,8315 98TH ST WOODHAVEN NY 11421 (Queens)
2068645-DCA,147A MANHATTAN AVE NEW YORK NY 10025 (Manhattan)
2111261-DCA,7116 20TH AVE BROOKLYN NY 11204 (Brooklyn)
