entity_id,registration_id,full_address,zip_code,Latitude,Longitude
BA-1433904-2022,0497331-DCA,16 E 52ND ST APT 1002 NEW YORK NY 10022 (Manhattan),10022,40.7594,-73.975393
BA-1408598-2022,0498310-DCA,66 WEST   47 STREET NEW YORK NY 10036 (Manhattan),10036,40.75749,-73.980562
BA-1350569-2022,0499857-DCA,2581 RICHMOND TERRACE STATEN ISLAND NY 10303 (Staten Island),10303,40.63762,-74.146815
BA-936680-2022,0510892-DCA,21601 UNION TURNPIKE BAYSIDE NY 11364 (Queens),11364,40.73434,-73.754999
BA-1116207-2022,0521211-DCA,745 5TH AVE APT 415 NEW YORK NY 10151 (Manhattan),10151,40.76333,-73.973695
BA-1314552-2022,0572702-DCA,5805 KINGSWAY PLACE BROOKLYN NY 11234 (Brooklyn),11234,40.64119,-73.920411
BA-1416173-2022,0573716-DCA,12280 MONTAUK ST SPRNGFLD GDNS NY 11413 (Queens),11413,40.68111,-73.758757
BA-1334185-2022,0575920-DCA,4157 BOSTON RD BRONX NY 10466 (Bronx),10466,40.88675,-73.825905
BA-1466370-2022,0579959-DCA,3356 WHITE PLAINS RD BRONX NY 10467 (Bronx),10467,40.87458,-73.867046
BA-1458868-2022,0623238-DCA,16203 NORTHERN BLVD FLUSHING NY 11358 (Queens),11358,40.7621,-73.803702
BA-1441712-2022,0624499-DCA,15 E 40TH ST APT 400 NEW YORK NY 10016 (Manhattan),10016,40.75177,-73.980795
BA-1426775-2022,0624602-DCA,545 5TH AVE APT 650 NEW YORK NY 10017 (Manhattan),10017,40.75516,-73.979188
BA-1302677-2022,0671640-DCA,6103 15 AVENUE BROOKLYN NY 11219 (Brooklyn),11219,40.62539,-73.994957
BA-1318933-2022,0672097-DCA,13907 HILLSIDE AVE JAMAICA NY 11435 (Queens),11435,40.70448,-73.81419
BA-1479812-2022,0673029-DCA,1656 PARKER STREET BRONX NY 10462 (Bronx),10462,40.83967,-73.852259
BA-1505264-2022,0673077-DCA,1475 HYLAN BLVD STATEN ISLAND NY 10305 (Staten Island),10305,40.59237,-74.08733
BA-1105375-2022,0673525-DCA,16128 CROSSBAY BLVD HOWARD BEACH NY 11414 (Queens),11414,40.65525,-73.838914
BA-1090679-2022,0673645-DCA,15025 14 AVENUE WHITESTONE NY 11357 (Queens),11357,40.78902,-73.813073
BA-1411661-2022,0673685-DCA,4852 CLEARVIEW EXPY OAKLAND GARDENS NY 11364 (Queens),11364,40.7526,-73.776057
BA-1194358-2022,0674099-DCA,720 E 141ST ST BRONX NY 10454 (Bronx),10454,40.80692,-73.911536
BA-1207927-2022,0674161-DCA,4202 ASTORIA BLVD ASTORIA NY 11103 (Queens),11103,40.76851,-73.908851
